mid,following,whisper,black,follower,name,sex,face,face_nft,sign,rank,level,jointime,moral,silence,coins,fans_badge,fans_medal,official,vip,pendant,nameplate,user_honour_info,is_followed,top_photo,theme,sys_notice,live_room,birthday,school,profession,tags,series,is_senior_member
13647872,20,0,0,728,卿本无耻,保密,http://i2.hdslb.com/bfs/face/787b0ede233960bb90079b8f3c698af59cd537e3.jpg,0,卿本佳人，奈何无耻,10000,6,0,0,0,0,FALSE,"{'show': True, 'wear': True, 'medal': {'uid': 13647872, 'target_id': 192560116, 'medal_id': 48593, 'level': 5, 'medal_name': '火星入', 'medal_color': 6126494, 'intimacy': 773, 'next_intimacy': 1000, 'day_limit': 1500, 'medal_color_start': 6126494, 'medal_color_end': 6126494, 'medal_color_border': 6126494, 'is_lighted': 1, 'light_status': 1, 'wearing_status': 1, 'score': 2474}}","{'role': 0, 'title': '', 'desc': '', 'type': -1}","{'type': 2, 'status': 1, 'due_date': 1658505600000, 'vip_pay_type': 0, 'theme_type': 0, 'label': {'path': '', 'text': '年度大会员', 'label_theme': 'annual_vip', 'text_color': '#FFFFFF', 'bg_style': 1, 'bg_color': '#FB7299', 'border_color': ''}, 'avatar_subscript': 1, 'nickname_color': '#FB7299', 'role': 3, 'avatar_subscript_url': 'http://i0.hdslb.com/bfs/vip/icon_Certification_big_member_22_3x.png'}","{'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}","{'nid': 4, 'name': '青铜殿堂', 'image': 'http://i0.hdslb.com/bfs/face/2879cd5fb8518f7c6da75887994c1b2a7fe670bd.png', 'image_small': 'http://i2.hdslb.com/bfs/face/6707c120e00a3445933308fd9b7bd9fad99e9ec4.png', 'level': '普通勋章', 'condition': '单个自制视频总播放数>=1万'}","{'mid': 0, 'colour': None, 'tags': []}",FALSE,http://i1.hdslb.com/bfs/space/cb1c3ef50e22b6096fde67febe863494caefebad.png,{},{},,5月1日,{'name': ''},"{'name': '', 'department': '', 'title': '', 'is_show': 0}",,"{'user_upgrade_status': 3, 'show_upgrade_window': False}",0
3092483,649,0,0,10771,锐纸JOE,男,http://i2.hdslb.com/bfs/face/dd1b161a559d5bb2044bc59e758075f3240df5ee.jpg,0,"编曲\HEAT LYRA主唱，网易云：锐纸JOE
群：824722252
商业合作请私信",10000,6,0,0,0,0,TRUE,"{'show': True, 'wear': True, 'medal': {'uid': 3092483, 'target_id': 106017013, 'medal_id': 367315, 'level': 4, 'medal_name': '藥丸子', 'medal_color': 6067854, 'intimacy': 348, 'next_intimacy': 700, 'day_limit': 1500, 'medal_color_start': 6067854, 'medal_color_end': 6067854, 'medal_color_border': 6067854, 'is_lighted': 1, 'light_status': 1, 'wearing_status': 1, 'score': 1349}}","{'role': 0, 'title': '', 'desc': '', 'type': -1}","{'type': 2, 'status': 1, 'due_date': 1668700800000, 'vip_pay_type': 1, 'theme_type': 0, 'label': {'path': '', 'text': '年度大会员', 'label_theme': 'annual_vip', 'text_color': '#FFFFFF', 'bg_style': 1, 'bg_color': '#FB7299', 'border_color': ''}, 'avatar_subscript': 1, 'nickname_color': '#FB7299', 'role': 3, 'avatar_subscript_url': 'http://i0.hdslb.com/bfs/vip/icon_Certification_big_member_22_3x.png'}","{'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}","{'nid': 9, 'name': '出道偶像', 'image': 'http://i0.hdslb.com/bfs/face/3f2d64f048b39fb6c26f3db39df47e6080ec0f9c.png', 'image_small': 'http://i0.hdslb.com/bfs/face/90c35d41d8a19b19474d6bac672394c17b444ce8.png', 'level': '高级勋章', 'condition': '所有自制视频总播放数>=50万'}","{'mid': 0, 'colour': None, 'tags': []}",FALSE,http://i2.hdslb.com/bfs/space/cb1c3ef50e22b6096fde67febe863494caefebad.png,{},{},"{'roomStatus': 1, 'liveStatus': 0, 'url': 'https://live.bilibili.com/990126?broadcast_type=0&is_room_feed=1', 'title': '超强音域型少年音唱见', 'cover': 'http://i0.hdslb.com/bfs/live/new_room_cover/742607f0cd8db134f342cd08912b1539177d9d79.jpg', 'roomid': 990126, 'roundStatus': 0, 'broadcast_type': 0, 'watched_show': {'switch': True, 'num': 7, 'text_small': '7', 'text_large': '7人看过', 'icon': 'https://i0.hdslb.com/bfs/live/a725a9e61242ef44d764ac911691a7ce07f36c1d.png', 'icon_location': '', 'icon_web': 'https://i0.hdslb.com/bfs/live/8d9d0f33ef8bf6f308742752d13dd0df731df19c.png'}}",1月1日,{'name': ''},"{'name': '', 'department': '', 'title': '', 'is_show': 0}",,"{'user_upgrade_status': 3, 'show_upgrade_window': False}",0
6092812,363,0,0,484124,伤影灬,保密,http://i1.hdslb.com/bfs/face/19455d29f652f62b7f6fed6ebf7a47a91390251a.jpg,0,一个只会蹭热度一线吃瓜吐槽搞笑区的up   视频都是主观  从不客观！,10000,6,0,0,0,0,TRUE,"{'show': True, 'wear': True, 'medal': {'uid': 6092812, 'target_id': 14576101, 'medal_id': 14568, 'level': 11, 'medal_name': '校草', 'medal_color': 9272486, 'intimacy': 4259, 'next_intimacy': 10000, 'day_limit': 1500, 'medal_color_start': 9272486, 'medal_color_end': 9272486, 'medal_color_border': 9272486, 'is_lighted': 1, 'light_status': 1, 'wearing_status': 1, 'score': 19160}}","{'role': 1, 'title': 'bilibili 知名搞笑UP主', 'desc': '代表作《弯》系列改编歌曲', 'type': 0}","{'type': 2, 'status': 1, 'due_date': 1915200000000, 'vip_pay_type': 0, 'theme_type': 0, 'label': {'path': '', 'text': '十年大会员', 'label_theme': 'ten_annual_vip', 'text_color': '#FFFFFF', 'bg_style': 1, 'bg_color': '#FB7299', 'border_color': ''}, 'avatar_subscript': 1, 'nickname_color': '#FB7299', 'role': 7, 'avatar_subscript_url': 'http://i0.hdslb.com/bfs/vip/icon_Certification_big_member_22_3x.png'}","{'pid': 415, 'name': 'X契约', 'image': 'http://i1.hdslb.com/bfs/face/36fd0c0acdca974e836661565af200f805cc06b0.png', 'expire': 0, 'image_enhance': 'http://i1.hdslb.com/bfs/face/36fd0c0acdca974e836661565af200f805cc06b0.png', 'image_enhance_frame': ''}","{'nid': 84, 'name': 'X契约', 'image': 'http://i1.hdslb.com/bfs/face/cd26565a102010d78399a6ffb9a9dc3050c8aafb.png', 'image_small': 'http://i2.hdslb.com/bfs/face/cd26565a102010d78399a6ffb9a9dc3050c8aafb.png', 'level': '稀有勋章', 'condition': '活动期间累计购买大会员时长>=10年'}","{'mid': 0, 'colour': None, 'tags': []}",FALSE,http://i2.hdslb.com/bfs/space/bcd327740c312c80224d403b3836ccd82d118e1a.png,{},{},"{'roomStatus': 1, 'liveStatus': 0, 'url': 'https://live.bilibili.com/36501?broadcast_type=0&is_room_feed=1', 'title': '随便看看！', 'cover': 'http://i0.hdslb.com/bfs/live/new_room_cover/4545065b96bc3cec31d6c2c51c1c30b322d4037e.jpg', 'roomid': 36501, 'roundStatus': 0, 'broadcast_type': 0, 'watched_show': {'switch': False, 'num': 1660, 'text_small': '1660', 'text_large': '1660人气', 'icon': 'https://i0.hdslb.com/bfs/live/0b265af1af0a77abc47aa3b8f1a5c0769d8bd23b.png', 'icon_location': '', 'icon_web': 'https://i0.hdslb.com/bfs/live/9bb14f7fe0d4988646daf7be7f825314cdd0dbb0.png'}}",6月1日,{'name': '清华大学'},"{'name': '', 'department': '', 'title': '', 'is_show': 0}","['B站第一帅', 'B站良心up']","{'user_upgrade_status': 3, 'show_upgrade_window': False}",0
11646988,549,0,0,729,颦颦远黛,保密,http://i1.hdslb.com/bfs/face/00c8158b034523f782fb38f9631f15a82d23be94.jpg,0,vvvvv,10000,6,0,0,0,0,FALSE,"{'show': False, 'wear': False, 'medal': None}","{'role': 0, 'title': '', 'desc': '', 'type': -1}","{'type': 2, 'status': 1, 'due_date': 1675958400000, 'vip_pay_type': 1, 'theme_type': 0, 'label': {'path': '', 'text': '年度大会员', 'label_theme': 'annual_vip', 'text_color': '#FFFFFF', 'bg_style': 1, 'bg_color': '#FB7299', 'border_color': ''}, 'avatar_subscript': 1, 'nickname_color': '#FB7299', 'role': 3, 'avatar_subscript_url': 'http://i0.hdslb.com/bfs/vip/icon_Certification_big_member_22_3x.png'}","{'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}","{'nid': 0, 'name': '', 'image': '', 'image_small': '', 'level': '', 'condition': ''}","{'mid': 0, 'colour': None, 'tags': []}",FALSE,http://i1.hdslb.com/bfs/space/cb1c3ef50e22b6096fde67febe863494caefebad.png,{},{},,,{'name': ''},"{'name': '', 'department': '', 'title': '', 'is_show': 0}",,"{'user_upgrade_status': 3, 'show_upgrade_window': False}",0
310255633,28,0,0,62,寻今我何在,保密,http://i1.hdslb.com/bfs/face/5c1b69e183b26de21cccbe3587578c152eddf458.jpg,0,,10000,3,0,0,0,0,FALSE,"{'show': False, 'wear': False, 'medal': None}","{'role': 0, 'title': '', 'desc': '', 'type': -1}","{'type': 0, 'status': 0, 'due_date': 0, 'vip_pay_type': 0, 'theme_type': 0, 'label': {'path': '', 'text': '', 'label_theme': '', 'text_color': '', 'bg_style': 0, 'bg_color': '', 'border_color': ''}, 'avatar_subscript': 0, 'nickname_color': '', 'role': 0, 'avatar_subscript_url': ''}","{'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}","{'nid': 0, 'name': '', 'image': '', 'image_small': '', 'level': '', 'condition': ''}","{'mid': 0, 'colour': None, 'tags': []}",FALSE,http://i1.hdslb.com/bfs/space/cb1c3ef50e22b6096fde67febe863494caefebad.png,{},{},,,{'name': ''},"{'name': '', 'department': '', 'title': '', 'is_show': 0}",,"{'user_upgrade_status': 3, 'show_upgrade_window': False}",0
189200402,0,0,0,256,RICujQ0t51,保密,http://i0.hdslb.com/bfs/face/member/noface.jpg,0,,10000,3,0,0,1,0,FALSE,"{'show': False, 'wear': False, 'medal': None}","{'role': 0, 'title': '', 'desc': '', 'type': -1}","{'type': 0, 'status': 0, 'due_date': 0, 'vip_pay_type': 0, 'theme_type': 0, 'label': {'path': '', 'text': '', 'label_theme': '', 'text_color': '', 'bg_style': 0, 'bg_color': '', 'border_color': ''}, 'avatar_subscript': 0, 'nickname_color': '', 'role': 0, 'avatar_subscript_url': ''}","{'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}","{'nid': 0, 'name': '', 'image': '', 'image_small': '', 'level': '', 'condition': ''}","{'mid': 0, 'colour': None, 'tags': []}",FALSE,http://i2.hdslb.com/bfs/space/cb1c3ef50e22b6096fde67febe863494caefebad.png,{},{},"{'roomStatus': 1, 'liveStatus': 0, 'url': 'https://live.bilibili.com/5867058?broadcast_type=0&is_room_feed=0', 'title': '', 'cover': 'https://s1.hdslb.com/bfs/static/blive/live-assets/common/images/no-cover.png', 'roomid': 5867058, 'roundStatus': 0, 'broadcast_type': 0, 'watched_show': {'switch': True, 'num': 4, 'text_small': '4', 'text_large': '4人看过', 'icon': 'https://i0.hdslb.com/bfs/live/a725a9e61242ef44d764ac911691a7ce07f36c1d.png', 'icon_location': '', 'icon_web': 'https://i0.hdslb.com/bfs/live/8d9d0f33ef8bf6f308742752d13dd0df731df19c.png'}}",,{'name': ''},"{'name': '', 'department': '', 'title': '', 'is_show': 0}",,"{'user_upgrade_status': 3, 'show_upgrade_window': False}",0
7825426,25,0,0,1844,你是我的梦罢了,女,http://i1.hdslb.com/bfs/face/16440826e17c04c2adb4bccc667e92dacf6b23a3.jpg,0,不混任何圈，勿关勿扰谢谢！,10000,4,0,0,0,0,FALSE,"{'show': True, 'wear': True, 'medal': {'uid': 7825426, 'target_id': 23623223, 'medal_id': 88152, 'level': 4, 'medal_name': '美汉子', 'medal_color': 6067854, 'intimacy': 43, 'next_intimacy': 700, 'day_limit': 1500, 'medal_color_start': 6067854, 'medal_color_end': 6067854, 'medal_color_border': 6067854, 'is_lighted': 1, 'light_status': 1, 'wearing_status': 1, 'score': 1044}}","{'role': 0, 'title': '', 'desc': '', 'type': -1}","{'type': 1, 'status': 0, 'due_date': 1560268800000, 'vip_pay_type': 0, 'theme_type': 0, 'label': {'path': '', 'text': '', 'label_theme': '', 'text_color': '', 'bg_style': 0, 'bg_color': '', 'border_color': ''}, 'avatar_subscript': 0, 'nickname_color': '', 'role': 0, 'avatar_subscript_url': ''}","{'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}","{'nid': 8, 'name': '知名偶像', 'image': 'http://i2.hdslb.com/bfs/face/27a952195555e64508310e366b3e38bd4cd143fc.png', 'image_small': 'http://i1.hdslb.com/bfs/face/0497be49e08357bf05bca56e33a0637a273a7610.png', 'level': '稀有勋章', 'condition': '所有自制视频总播放数>=100万'}","{'mid': 0, 'colour': None, 'tags': []}",FALSE,http://i2.hdslb.com/bfs/space/cb1c3ef50e22b6096fde67febe863494caefebad.png,{},{},"{'roomStatus': 1, 'liveStatus': 0, 'url': 'https://live.bilibili.com/7074571?broadcast_type=0&is_room_feed=0', 'title': '', 'cover': 'https://s1.hdslb.com/bfs/static/blive/live-assets/common/images/no-cover.png', 'roomid': 7074571, 'roundStatus': 0, 'broadcast_type': 0, 'watched_show': {'switch': True, 'num': 3, 'text_small': '3', 'text_large': '3人看过', 'icon': 'https://i0.hdslb.com/bfs/live/a725a9e61242ef44d764ac911691a7ce07f36c1d.png', 'icon_location': '', 'icon_web': 'https://i0.hdslb.com/bfs/live/8d9d0f33ef8bf6f308742752d13dd0df731df19c.png'}}",2月7日,{'name': ''},"{'name': '', 'department': '', 'title': '', 'is_show': 0}",,"{'user_upgrade_status': 3, 'show_upgrade_window': False}",0
241809427,7,0,0,7890,FDU华晨宇复旦火星村,保密,http://i1.hdslb.com/bfs/face/4ea8f30c2ab4d88ba0833bea9a045dbed70471dd.jpg,0,随意点,10000,5,0,0,0,0,FALSE,"{'show': False, 'wear': False, 'medal': None}","{'role': 0, 'title': '', 'desc': '', 'type': -1}","{'type': 2, 'status': 1, 'due_date': 1673193600000, 'vip_pay_type': 1, 'theme_type': 0, 'label': {'path': '', 'text': '年度大会员', 'label_theme': 'annual_vip', 'text_color': '#FFFFFF', 'bg_style': 1, 'bg_color': '#FB7299', 'border_color': ''}, 'avatar_subscript': 1, 'nickname_color': '#FB7299', 'role': 3, 'avatar_subscript_url': 'http://i0.hdslb.com/bfs/vip/icon_Certification_big_member_22_3x.png'}","{'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}","{'nid': 0, 'name': '', 'image': '', 'image_small': '', 'level': '', 'condition': ''}","{'mid': 0, 'colour': None, 'tags': []}",FALSE,http://i2.hdslb.com/bfs/space/cb1c3ef50e22b6096fde67febe863494caefebad.png,{},{},,7月31日,{'name': ''},"{'name': '', 'department': '', 'title': '', 'is_show': 0}",,"{'user_upgrade_status': 3, 'show_upgrade_window': False}",0
1412053015,33,0,0,1147,垂耳兔不会吹口哨,女,http://i1.hdslb.com/bfs/face/1ba47c5bc6e364ac730dd2f9e37ef0547e59ae8c.jpg,0,高三up主，佛系更新，慎关（内容多为学校日常/翻唱/沙雕生活）,10000,5,0,0,0,0,FALSE,"{'show': False, 'wear': False, 'medal': None}","{'role': 0, 'title': '', 'desc': '', 'type': -1}","{'type': 0, 'status': 0, 'due_date': 0, 'vip_pay_type': 0, 'theme_type': 0, 'label': {'path': '', 'text': '', 'label_theme': '', 'text_color': '', 'bg_style': 0, 'bg_color': '', 'border_color': ''}, 'avatar_subscript': 0, 'nickname_color': '', 'role': 0, 'avatar_subscript_url': ''}","{'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}","{'nid': 0, 'name': '', 'image': '', 'image_small': '', 'level': '', 'condition': ''}","{'mid': 0, 'colour': None, 'tags': []}",FALSE,http://i1.hdslb.com/bfs/space/cb1c3ef50e22b6096fde67febe863494caefebad.png,{},{},"{'roomStatus': 1, 'liveStatus': 0, 'url': 'https://live.bilibili.com/24046533?broadcast_type=0&is_room_feed=1', 'title': '迎新晚会', 'cover': 'https://s1.hdslb.com/bfs/static/blive/live-assets/common/images/no-cover.png', 'roomid': 24046533, 'roundStatus': 0, 'broadcast_type': 0, 'watched_show': {'switch': False, 'num': 0, 'text_small': '0', 'text_large': '0人气', 'icon': 'https://i0.hdslb.com/bfs/live/0b265af1af0a77abc47aa3b8f1a5c0769d8bd23b.png', 'icon_location': '', 'icon_web': 'https://i0.hdslb.com/bfs/live/9bb14f7fe0d4988646daf7be7f825314cdd0dbb0.png'}}",8月30日,,"{'name': '', 'department': '', 'title': '', 'is_show': 0}",,"{'user_upgrade_status': 3, 'show_upgrade_window': False}",0
1632149530,3,0,0,2015,呆妹闲聊馆x,保密,http://i1.hdslb.com/bfs/face/9579395a80ac039faaa9901f9e6cdef046dd1cdf.jpg,0,,10000,5,0,0,0,0,FALSE,"{'show': False, 'wear': False, 'medal': None}","{'role': 0, 'title': '', 'desc': '', 'type': -1}","{'type': 0, 'status': 0, 'due_date': 0, 'vip_pay_type': 0, 'theme_type': 0, 'label': {'path': '', 'text': '', 'label_theme': '', 'text_color': '', 'bg_style': 0, 'bg_color': '', 'border_color': ''}, 'avatar_subscript': 0, 'nickname_color': '', 'role': 0, 'avatar_subscript_url': ''}","{'pid': 0, 'name': '', 'image': '', 'expire': 0, 'image_enhance': '', 'image_enhance_frame': ''}","{'nid': 0, 'name': '', 'image': '', 'image_small': '', 'level': '', 'condition': ''}","{'mid': 0, 'colour': None, 'tags': []}",FALSE,http://i0.hdslb.com/bfs/space/cb1c3ef50e22b6096fde67febe863494caefebad.png,{},{},,,,"{'name': '', 'department': '', 'title': '', 'is_show': 0}",,"{'user_upgrade_status': 3, 'show_upgrade_window': False}",0
