v_name,v_link,v_img,v_dur,v_num_play,v_time,u_link,u_id,v_id,aid,cid,reply,danmu,favorite,coin,share,like,tname,tag,tag_num
华晨宇最新6首原创新歌【纯享合集】2021,https://www.bilibili.com/video/BV1ur4y1D7Z5?from=search,https://i1.hdslb.com/bfs/archive/a3fb0e884e544e8a515dd9dca5726aae2b56cd88.png@480w_300h_1c.webp,110820,1544000,2021-12-08,https://space.bilibili.com/252577266?from=search,252577266,BV1ur4y1D7Z5,764747345,456980797,5013,8719,36540,14127,13350,30909,明星综合,华晨宇*华晨宇演唱会*小镇里的花*黑白艺术家*好想我回来啊*花落时相遇*飞行模式*纯享*华晨宇新歌*走，一起去看日出吧,10
【王牌对王牌】沈腾华晨宇反诈版staywithme,https://www.bilibili.com/video/BV1RT4y1S7Vq?from=search,https://i2.hdslb.com/bfs/archive/d2545d86da578ebea1368837ee34ccc466f0ec04.jpg@480w_300h_1c.webp,175,78000,2022-03-05,https://space.bilibili.com/504672822?from=search,504672822,BV1RT4y1S7Vq,937037057,542002145,1347,2087,4073,5719,1585,7351,综艺,王牌对王牌*综艺*UP影剧综指南*UP影剧综指南·艺起看*沈腾,5
卧槽！【华晨宇】现场本性曝光，内娱竟然有这种摇滚小白花or蛊精野帝-你将被不朽铭记Centuries,https://www.bilibili.com/video/BV18P4y1P7Tk?from=search,https://i2.hdslb.com/bfs/archive/03cc322114f19a8ce36dd7880c1908dde32246bd.jpg@480w_300h_1c.webp,162,17000,2022-02-09,https://space.bilibili.com/13647872?from=search,13647872,BV18P4y1P7Tk,893891528,504756433,157,97,1615,1289,105,3371,粉丝创作,音乐现场*华晨宇*爱豆安利挑战*花花*音乐*混剪*演唱会*跟着UP主创作吧（第二期）,8
【华晨宇】【烟花易冷】个人直拍！王牌第七季,https://www.bilibili.com/video/BV1q44y1n7Hm?from=search,https://i2.hdslb.com/bfs/archive/3269581c55c9077a9ba115e73d150886a5076bb8.jpg@480w_300h_1c.webp,295,68000,2022-02-26,https://space.bilibili.com/343638111?from=search,343638111,BV1q44y1n7Hm,979283195,517086888,522,756,3209,1100,486,5027,明星综合,王牌对王牌*华晨宇*舞台*歌手*直拍,5
华晨宇治愈名场面,https://www.bilibili.com/video/BV14L4y1t7fp?from=search,https://i2.hdslb.com/bfs/archive/9ddf87d9045950e4954a73821367d92b3d9151d8.jpg@480w_300h_1c.webp,288,76000,2022-01-26,https://space.bilibili.com/693939043?from=search,693939043,BV14L4y1t7fp,850886891,492812764,1058,296,656,751,93,2761,明星综合,华晨宇*治愈*“做法”,3
这首歌国内只有华晨宇敢唱,https://www.bilibili.com/video/BV1ub41177jr?from=search,https://i2.hdslb.com/bfs/archive/8b9b3db04d3192ae2db3ebf5c7e6b0315136f0db.jpg@480w_300h_1c.webp,203,619000,2019-03-22,https://space.bilibili.com/276145392?from=search,276145392,BV1ub41177jr,47010223,82338210,855,986,4410,604,361,6041,音乐现场,音乐现场*华晨宇*华语现场*花花*演唱会*音乐*歌曲,7
我被华晨宇投诉了！但他投诉失败了！笑死我了！  哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！,https://www.bilibili.com/video/BV1mP4y1x7ZS?from=search,https://i2.hdslb.com/bfs/archive/3671c080f3702b0e8c945887febf04fb9bf3f224.jpg@480w_300h_1c.webp,163,2651000,2021-08-06,https://space.bilibili.com/6092812?from=search,6092812,BV1mP4y1x7ZS,889659963,383528973,6763,5890,11111,26665,4695,233389,娱乐杂谈,明星*华晨宇*娱乐之王·高能点评官*吐槽*搞笑*花花*歌手*影娱哔哔官*火星人*吃瓜,10
华晨宇 癌 音乐鉴赏,https://www.bilibili.com/video/BV1T4411R7jw?from=search,https://i0.hdslb.com/bfs/archive/7dac1e8c2b1c512015ce81f4cf86dc0baff2d57d.jpg@480w_300h_1c.webp,235,3311000,2019-08-22,https://space.bilibili.com/24836478?from=search,24836478,BV1T4411R7jw,64920157,112689540,27395,27469,10461,2846,46510,28823,音乐现场,音乐现场*华晨宇*花花*癌*华语现场*音乐鉴赏*乐评*音乐禽兽亮*萌新UP报到,9
经典老番——带篮子评价华晨宇,https://www.bilibili.com/video/BV12K4y1H7b2?from=search,https://i2.hdslb.com/bfs/archive/d7d2812c2bc8ff56b4047495560ebd0af944c557.png@480w_300h_1c.webp,62,2024000,2021-01-22,https://space.bilibili.com/437871214?from=search,437871214,BV12K4y1H7b2,886341690,286006777,4570,3155,18946,6125,28177,49350,搞笑,华晨宇*娱乐*花花*陈E*蝴蝶*抽象*抽象带篮子*带篮子,8
华晨宇和张碧晨未婚生子？我从来没见过这么负责任的父母！,https://www.bilibili.com/video/BV1mv4y1f7Mm?from=search,https://i0.hdslb.com/bfs/archive/831e2b6a786a33fc7caee049b9931dd916ad35b3.jpg@480w_300h_1c.webp,330,6399000,2021-01-23,https://space.bilibili.com/5870268?from=search,5870268,BV1mv4y1f7Mm,543865861,286339375,18647,477487,42610,110811,31894,475401,娱乐杂谈,明星*华晨宇*未婚生子*趣味吐槽*搞笑*娱乐*娱乐圈*张碧晨*阴阳怪气,9
【华晨宇】舞台直拍｜反诈版《Stay With Me》,https://www.bilibili.com/video/BV17S4y137Pi?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851,173,19000,2022-03-05,https://space.bilibili.com/273083028?from=search,273083028,BV17S4y137Pi,679590492,542146578,104,202,1080,212,101,1982,综艺,综艺*王牌对王牌*华晨宇*歌曲*花絮*直拍*Stay With Me,7
颠倒众生，吹灰不费，收你做我的迷【华晨宇0207生贺/演唱会混剪】,https://www.bilibili.com/video/BV1uu41197VD?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851,87,16000,2022-02-07,https://space.bilibili.com/1857768?from=search,1857768,BV1uu41197VD,508835020,502720955,127,144,1450,1519,117,2627,粉丝创作,明星*华晨宇*娱你在一起*剪辑*生贺*芳华绝代*自制,7
【华晨宇】湿发小华·新发型！,https://www.bilibili.com/video/BV15U4y1o7uq?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851,41,2612,2022-03-10,https://space.bilibili.com/273083028?from=search,273083028,BV15U4y1o7uq,682127061,545937210,50,8,224,24,14,630,明星综合,发型*华晨宇*大片*清新*沙滩*欧莱雅*阳光*海边,8
华晨宇不修音现场真的有他粉丝吹的那么强吗？直播视频带你了解真相！？,https://www.bilibili.com/video/BV1Kb411M7Dg?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851,120540,1634000,2019-04-10,https://space.bilibili.com/103211001?from=search,103211001,BV1Kb411M7Dg,48921895,86218819,5392,16594,29815,17145,3553,43453,粉丝创作,音乐现场*明星*华晨宇*演唱会*音乐选集*高音,6
【华晨宇】探班二姐张歆艺,https://www.bilibili.com/video/BV1uT4y1S7Ls?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851,38,16000,2022-03-01,https://space.bilibili.com/273083028?from=search,273083028,BV1uT4y1S7Ls,936922313,519481398,51,15,208,13,17,663,综艺,综艺*华晨宇*金发*张歆艺*探班,5
为什么冬奥会的现场会播放华晨宇的《寒鸦少年》？,https://www.bilibili.com/video/BV1VF411E7kt?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851,352,40000,2022-02-16,https://space.bilibili.com/431581976?from=search,431581976,BV1VF411E7kt,296560850,510300165,489,199,570,528,69,2354,演奏,演奏*弹唱*钢琴*华晨宇*羽生结弦*音乐*冬奥会*即兴伴奏*钢琴教学*寒鸦少年*2022新年音乐大作战*新年音乐大作战,12
【华晨宇】你什么都没有说 我还是会奔向你啊,https://www.bilibili.com/video/BV1AY411h7qS?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851,598,36000,2022-01-16,https://space.bilibili.com/290799191?from=search,290799191,BV1AY411h7qS,253130671,487760601,475,1127,2450,2514,274,3850,粉丝创作,华晨宇*爱豆安利挑战*混剪*跟着UP主创作吧（第二期）,4
【华晨宇】每 天 一 遍 ，智 商 再 见 。,https://www.bilibili.com/video/BV1n54y1d7qp?from=search,https://search.bilibili.com/video?keyword=%E5%8D%8E%E6%99%A8%E5%AE%87&from_source=webtop_search&spm_id_from=333.851,208,295000,2020-04-13,https://space.bilibili.com/288449607?from=search,288449607,BV1n54y1d7qp,840130917,177852332,433,1296,8166,2453,1422,17478,粉丝创作,明星*华晨宇*心动挑战混剪大赛*花火爱情*混剪*现场*搞笑,7
