aid,cid,reply,danmu,favorite,coin,share,like,dislike,tname
764747345,456980797,5013,8719,36540,14127,13350,30909,0,明星综合
937037057,542002145,1347,2087,4073,5719,1585,7351,0,综艺
893891528,504756433,157,97,1615,1289,105,3371,0,粉丝创作
979283195,517086888,522,756,3209,1100,486,5027,0,明星综合
850886891,492812764,1058,296,656,751,93,2761,0,明星综合
47010223,82338210,855,986,4410,604,361,6041,0,音乐现场
889659963,383528973,6763,5890,11111,26665,4695,233389,0,娱乐杂谈
64920157,112689540,27395,27469,10461,2846,46510,28823,0,音乐现场
886341690,286006777,4570,3155,18946,6125,28177,49350,0,搞笑
543865861,286339375,18647,477487,42610,110811,31894,475401,0,娱乐杂谈
679590492,542146578,104,202,1080,212,101,1982,0,综艺
508835020,502720955,127,144,1450,1519,117,2627,0,粉丝创作
682127061,545937210,50,8,224,24,14,630,0,明星综合
48921895,86218819,5392,16594,29815,17145,3553,43453,0,粉丝创作
936922313,519481398,51,15,208,13,17,663,0,综艺
296560850,510300165,489,199,570,528,69,2354,0,演奏
253130671,487760601,475,1127,2450,2514,274,3850,0,粉丝创作
840130917,177852332,433,1296,8166,2453,1422,17478,0,粉丝创作
935343272,473848340,364,192,3364,1415,398,6506,0,明星综合
331365882,288003982,9601,5951,10222,1713,53324,27342,0,娱乐杂谈
978102457,480824557,1118,495,10272,15793,1285,16287,0,粉丝创作
679245199,514217682,1564,13211,7339,5261,1603,8070,0,音乐现场
338437441,502234055,287,269,3000,2368,269,6718,0,粉丝创作
381748566,514388941,190,477,191,397,51,2657,0,搞笑
886396030,401990028,18337,30298,147254,403141,111300,477618,0,翻唱
33589453,58806429,641,706,19760,4189,2893,15669,0,明星综合
632083916,487542756,1402,1250,7507,9392,1079,10465,0,明星综合
849351363,444486907,1557,936,12172,13106,3788,17531,0,音乐综合
766885889,540744777,30,3,5,0,2,59,0,明星综合
552027866,541744051,146,35,494,53,65,1563,0,综艺
765312866,476963483,1738,1212,7243,9451,1171,12050,0,音乐综合
296897114,540180795,846,631,325,52,180,3578,0,明星综合
204667109,312513975,3099,4092,9227,10412,1846,16342,0,综艺
509478710,519408704,157,208,235,610,40,3031,0,手办·模玩
851536800,510658813,141,50,886,96,63,3702,0,音乐现场
48062253,84194081,2693,5724,21219,12347,3810,37662,0,音乐现场
807266376,459520513,262,293,5042,1813,623,5225,0,音乐现场
681354478,507644165,1083,2470,7332,11448,1102,11705,0,粉丝创作
296984719,541468192,169,145,183,357,27,1371,0,音乐综合
682006744,542019867,153,152,373,506,212,1262,0,综艺
933721707,429163109,1003,382,2658,352,796,11056,0,明星综合
850085282,467064062,188,85,3684,922,416,8417,0,粉丝创作
592596489,469152458,379,273,6474,6330,729,10612,0,明星综合
21102275,34621210,4260,11255,71335,53375,12207,83918,0,明星综合
507720144,470185408,1487,2195,3813,782,453,15584,0,明星综合
87433139,149454595,14562,27281,77961,64749,29086,109429,0,综艺
61049573,106216954,800,2284,8656,1364,2189,10903,0,综艺
51716349,90534293,1188,2700,11252,2515,945,14414,0,音乐现场
892256087,459791936,34,37,1473,167,20,1542,0,音乐综合
764719707,455845323,274,146,2222,542,393,8131,0,明星综合
809708389,546131398,227,84,5,2,1,121,0,综艺
798828378,285960148,2320,1083,1479,418,1824,9359,0,娱乐杂谈
84795127,145012934,904,7169,13970,11109,1291,23995,0,粉丝创作
894306048,515816892,8,4,1873,92,2,2176,0,综艺
508510307,495659863,225,1426,2271,489,174,2754,0,明星综合
467059842,541941767,20,8,10,4,1,142,0,明星综合
252525019,467607617,255,145,2596,2080,250,3277,0,明星综合
934646308,457458730,950,1366,13145,5577,5910,14435,0,音乐现场
251650420,443378599,29,3,734,54,3,871,0,汽车生活
76088106,130155244,33631,81981,300714,111996,124859,398069,0,音乐现场
679177041,514019463,1524,9788,6807,5126,1467,7617,0,音乐现场
15521692,25259837,1969,1531,38980,21241,9468,30592,0,音乐现场
504529548,380236225,2400,9027,7842,4638,1292,11287,0,粉丝创作
840629103,189824823,790,2219,16082,16550,2706,55545,0,明星综合
541313293,211462638,1659,2693,17998,10239,3254,21681,0,粉丝创作
544878154,318838803,2675,3702,13807,12819,2962,19743,0,综艺
625488279,183579019,2276,3730,7268,920,2749,41379,0,明星综合
767051773,545468689,119,33,190,296,21,1252,0,综艺
722207750,456666371,581,149,6277,1430,734,7362,0,音乐现场
75965449,129946821,88642,204645,280964,300411,210640,333347,0,音乐现场
15933083,26001051,2644,5254,14555,2881,4299,13720,0,综艺
339317191,516873770,1268,1784,3717,5789,1303,6987,0,综艺
935096328,468754330,101,103,5023,644,5,5147,0,音乐综合
18039757,29453139,1654,4065,24493,4485,12199,13917,0,音乐综合
47536876,83322344,7153,8379,31328,29941,5620,44517,0,音乐综合
96128171,164100590,2688,6322,11197,12205,2602,17284,0,社科·法律·心理
551980041,519092180,238,219,1318,1707,147,2940,0,演奏
7649361,12532425,6375,25560,190822,51182,97277,126318,0,综艺
47555321,83294924,390,1718,3394,210,428,6084,0,娱乐杂谈
934659330,459993226,683,278,6819,5456,865,8924,0,明星综合
16614987,27100271,4812,11902,47940,35956,14785,39196,0,音乐现场
55817203,97575629,664,450,3330,153,377,5204,0,综艺
254337005,516605096,138,39,1141,828,57,2242,0,粉丝创作
28343738,49022716,787,1534,9076,614,1235,7909,0,综艺
338637456,500373383,976,1470,3073,4529,1341,7248,0,综艺
91165352,155664558,2187,3357,22411,22808,6174,35026,0,粉丝创作
24222819,40609844,719,1926,6161,663,2429,7296,0,明星综合
87533356,149560957,7599,27690,26639,2735,4498,140917,0,综艺
94364896,161099569,5223,6580,18272,20163,9948,26598,0,综艺
509691308,546017214,34,6,175,43,11,411,0,明星综合
18311449,29891138,892,13878,25182,10510,4140,14463,0,音乐综合
850141344,471234637,65,35,819,112,23,1071,0,音乐综合
31114118,54348120,632,1307,6895,1092,345,9121,0,粉丝创作
211830890,514849856,98,3,351,6,53,777,0,娱乐杂谈
59216079,103201489,1056,1499,17155,4310,3412,26021,0,音乐现场
935006877,468544274,5557,8725,2624,419,123,32041,0,娱乐杂谈
61122192,106344936,781,2244,8723,1204,1523,13295,0,粉丝创作
892757640,474497523,165,149,3001,2257,189,4780,0,粉丝创作
14244013,23249899,890,5717,19454,2847,2723,12524,0,音乐现场
889449049,402336392,6146,662,5402,10875,1854,13239,0,明星综合
893367305,487591194,251,106,3347,3685,209,6929,0,VOCALOID·UTAU
967891742,184645986,1340,4468,21716,4527,3798,17605,0,音乐综合
43843844,76809271,452,559,8077,1029,720,12233,0,综合
757212597,313206944,9039,8314,17341,6802,6173,25687,0,明星综合
498038452,186059678,42860,50773,75684,119172,37690,126904,0,MV
12340665,20327069,3113,22336,44573,22351,8235,27452,0,音乐现场
765839465,489975633,52,9,1824,97,24,1577,0,短片
671454322,289589282,30676,19329,15843,20153,6722,28956,0,综艺
931025492,352858297,19577,19355,19217,26251,6837,27508,0,综艺
296584944,508586538,71,30,1034,190,69,4481,0,音乐现场
47479486,83021851,1546,6719,16305,5040,1951,20265,0,音乐现场
28166736,48686503,2115,789,8714,968,2033,5267,0,明星综合
764742850,457034268,1028,657,10852,5049,4063,11839,0,明星综合
